index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
40,16,16,256,128,3,64,6,0.931875,0.931041667,210892
41,16,16,256,128,3,64,3,0.725625,0.727864583,174540
42,16,16,256,128,3,32,6,0.62,0.620625,145772
43,16,16,256,128,3,32,3,0.74875,0.75484375,133740
44,16,16,256,128,3,16,6,0.49875,0.482916667,122428
45,16,16,256,128,3,16,3,0.53,0.523697917,117948
46,16,16,256,128,3,8,6,0.771875,0.764427083,113060
47,16,16,256,128,3,8,3,0.6775,0.671875,111204
48,16,16,256,64,6,256,6,0.75125,0.7490625,1019084
49,16,16,256,64,6,256,3,0.693125,0.699947917,627916
50,16,16,256,64,6,128,6,0.778125,0.777135417,365388
51,16,16,256,64,6,128,3,0.6375,0.62984375,268108
52,16,16,256,64,6,64,6,0.786875,0.790104167,185996
53,16,16,256,64,6,64,3,0.859375,0.856614583,161932
54,16,16,256,64,6,32,6,0.668125,0.658385417,133164
55,16,16,256,64,6,32,3,0.606875,0.602916667,127276
56,16,16,256,64,6,16,6,0.67,0.65296875,115964
57,16,16,256,64,6,16,3,0.835,0.837291667,114556
58,16,16,256,64,6,8,6,0.750625,0.748177083,109668
59,16,16,256,64,6,8,3,0.611875,0.620572917,109348
60,16,16,256,64,3,256,6,0.925625,0.927395833,969932
61,16,16,256,64,3,256,3,0.6025,0.599947917,578764
62,16,16,256,64,3,128,6,0.8675,0.8734375,316236
63,16,16,256,64,3,128,3,0.73,0.724895833,218956
64,16,16,256,64,3,64,6,0.825625,0.817239583,136844
65,16,16,256,64,3,64,3,0.781875,0.777604167,112780
66,16,16,256,64,3,32,6,0.543125,0.527447917,84012
67,16,16,256,64,3,32,3,0.9225,0.927760417,78124
68,16,16,256,64,3,16,6,0.795,0.786354167,66812
69,16,16,256,64,3,16,3,0.688125,0.668802083,65404
70,16,16,256,64,3,8,6,0.768125,0.7521875,60516
71,16,16,256,64,3,8,3,0.491875,0.470208333,60196
72,16,16,256,32,6,256,6,0.70125,0.698072917,920620
73,16,16,256,32,6,256,3,0.78625,0.7815625,554028
74,16,16,256,32,6,128,6,0.825,0.8215625,291500
75,16,16,256,32,6,128,3,0.761875,0.77,206508
76,16,16,256,32,6,64,6,0.9025,0.905416667,124396
77,16,16,256,32,6,64,3,0.80125,0.80125,106476
78,16,16,256,32,6,32,6,0.6025,0.593802083,77708
79,16,16,256,32,6,32,3,0.753125,0.749791667,74892
80,16,16,256,32,6,16,6,0.70875,0.704947917,63580
81,16,16,256,32,6,16,3,0.600625,0.57953125,63708
82,16,16,256,32,6,8,6,0.74375,0.728958333,58820
83,16,16,256,32,6,8,3,0.769375,0.763958333,59268
84,16,16,256,32,3,256,6,0.9,0.892864583,896044
85,16,16,256,32,3,256,3,0.643125,0.636510417,529452
86,16,16,256,32,3,128,6,0.694375,0.68890625,266924
87,16,16,256,32,3,128,3,0.6725,0.677552083,181932
88,16,16,256,32,3,64,6,0.845,0.843489583,99820
89,16,16,256,32,3,64,3,0.798125,0.797083333,81900
90,16,16,256,32,3,32,6,0.821875,0.8090625,53132
91,16,16,256,32,3,32,3,0.4975,0.493020833,50316
92,16,16,256,32,3,16,6,0.7275,0.725364583,39004
93,16,16,256,32,3,16,3,0.656875,0.64390625,39132
94,16,16,256,32,3,8,6,0.7225,0.7184375,34244
95,16,16,256,32,3,8,3,0.716875,0.7021875,34692
96,16,16,256,16,6,256,6,0.798125,0.79015625,871388
97,16,16,256,16,6,256,3,0.805625,0.809010417,517084
98,16,16,256,16,6,128,6,0.775625,0.759270833,254556
99,16,16,256,16,6,128,3,0.918125,0.9203125,175708
100,16,16,256,16,6,64,6,0.779375,0.76578125,93596
101,16,16,256,16,6,64,3,0.668125,0.672395833,78748
102,16,16,256,16,6,32,6,0.5325,0.518177083,49980
103,16,16,256,16,6,32,3,0.74375,0.73890625,48700
104,16,16,256,16,6,16,6,0.748125,0.74671875,37388
105,16,16,256,16,6,16,3,0.651875,0.644114583,38284
106,16,16,256,16,6,8,6,0.675,0.66015625,33396
107,16,16,256,16,6,8,3,0.8525,0.85015625,34228
108,16,16,256,16,3,256,6,0.60375,0.596197917,859100
109,16,16,256,16,3,256,3,0.74,0.735625,504796
110,16,16,256,16,3,128,6,0.64,0.638229167,242268
111,16,16,256,16,3,128,3,0.629375,0.60421875,163420
112,16,16,256,16,3,64,6,0.781875,0.772916667,81308
113,16,16,256,16,3,64,3,0.73625,0.72921875,66460
114,16,16,256,16,3,32,6,0.713125,0.716666667,37692
115,16,16,256,16,3,32,3,0.750625,0.7490625,36412
