index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
1297,16,8,32,256,6,256,3,0.841025641,0.829714772,825806
1298,16,8,32,256,6,128,6,0.841025641,0.829289059,512078
1299,16,8,32,256,6,128,3,0.841025641,0.829714772,341070
1300,16,8,32,256,6,64,6,0.841025641,0.829714772,233358
1301,16,8,32,256,6,64,3,0.841025641,0.829714772,172430
1302,16,8,32,256,6,32,6,0.841025641,0.829714772,130862
1303,16,8,32,256,6,32,3,1,1,106542
1304,16,8,32,256,6,16,6,0.841025641,0.834397616,88830
1305,16,8,32,256,6,16,3,0.841025641,0.829714772,78206
1306,16,8,32,256,6,8,6,0.815384615,0.795657727,70118
1307,16,8,32,256,6,8,3,0.928205128,0.928054491,65190
1308,16,8,32,256,3,256,6,0.841025641,0.825457642,1339854
1309,16,8,32,256,3,256,3,0.841025641,0.829714772,801230
1310,16,8,32,256,3,128,6,0.841025641,0.829714772,487502
1311,16,8,32,256,3,128,3,0.841025641,0.829714772,316494
1312,16,8,32,256,3,64,6,0.841025641,0.829714772,208782
1313,16,8,32,256,3,64,3,0.841025641,0.829289059,147854
1314,16,8,32,256,3,32,6,1,1,106286
1315,16,8,32,256,3,32,3,1,0.999148574,81966
1316,16,8,32,256,3,16,6,0.876923077,0.862068966,64254
1317,16,8,32,256,3,16,3,0.841025641,0.836951894,53630
1318,16,8,32,256,3,8,6,0.820512821,0.793103448,45542
1319,16,8,32,256,3,8,3,0.907692308,0.893571733,40614
1320,16,8,32,128,6,256,6,0.682051282,0.659429544,1142606
1321,16,8,32,128,6,256,3,0.682051282,0.659429544,702286
1322,16,8,32,128,6,128,6,0.682051282,0.659429544,388558
1323,16,8,32,128,6,128,3,0.841025641,0.829714772,266702
1324,16,8,32,128,6,64,6,0.841025641,0.829714772,158990
1325,16,8,32,128,6,64,3,1,0.997020009,122638
1326,16,8,32,128,6,32,6,0.856410256,0.84333759,81070
1327,16,8,32,128,6,32,3,1,1,69038
1328,16,8,32,128,6,16,6,0.897435897,0.876117497,51326
1329,16,8,32,128,6,16,3,0.856410256,0.851851852,46846
1330,16,8,32,128,6,8,6,0.728205128,0.707109408,38758
1331,16,8,32,128,6,8,3,0.8,0.773520647,36902
1332,16,8,32,128,3,256,6,0.841025641,0.829714772,1130318
1333,16,8,32,128,3,256,3,0.841025641,0.829714772,689998
1334,16,8,32,128,3,128,6,0.841025641,0.826309068,376270
1335,16,8,32,128,3,128,3,0.758974359,0.710515113,254414
1336,16,8,32,128,3,64,6,0.841025641,0.825883355,146702
1337,16,8,32,128,3,64,3,1,0.997871435,110350
1338,16,8,32,128,3,32,6,0.851282051,0.84333759,68782
1339,16,8,32,128,3,32,3,0.994871795,0.996594295,56750
1340,16,8,32,128,3,16,6,0.923076923,0.901234568,39038
1341,16,8,32,128,3,16,3,0.866666667,0.860791826,34558
1342,16,8,32,128,3,8,6,0.769230769,0.743295019,26470
1343,16,8,32,128,3,8,3,0.825641026,0.80715198,24614
1344,16,8,32,64,6,256,6,0.682051282,0.658578118,1031694
1345,16,8,32,64,6,256,3,0.682051282,0.659429544,640526
1346,16,8,32,64,6,128,6,0.841025641,0.829714772,326798
1347,16,8,32,64,6,128,3,0.841025641,0.827160494,229518
1348,16,8,32,64,6,64,6,0.841025641,0.829714772,121806
1349,16,8,32,64,6,64,3,0.841025641,0.832694764,97742
1350,16,8,32,64,6,32,6,0.887179487,0.872711792,56174
1351,16,8,32,64,6,32,3,0.912820513,0.881651767,50286
1352,16,8,32,64,6,16,6,0.958974359,0.927628778,32574
1353,16,8,32,64,6,16,3,0.907692308,0.890591741,31166
1354,16,8,32,64,6,8,6,0.784615385,0.747126437,23078
1355,16,8,32,64,6,8,3,0.902564103,0.874414645,22758
1356,16,8,32,64,3,256,6,0.682051282,0.659429544,1025550
1357,16,8,32,64,3,256,3,0.682051282,0.659429544,634382
1358,16,8,32,64,3,128,6,0.841025641,0.828863346,320654
1359,16,8,32,64,3,128,3,0.841025641,0.829714772,223374
1360,16,8,32,64,3,64,6,0.774358974,0.747977863,115662
1361,16,8,32,64,3,64,3,0.876923077,0.855683269,91598
1362,16,8,32,64,3,32,6,0.98974359,0.985100043,50030
1363,16,8,32,64,3,32,3,0.98974359,0.994891443,44142
1364,16,8,32,64,3,16,6,0.969230769,0.950191571,26430
1365,16,8,32,64,3,16,3,0.943589744,0.937420179,25022
1366,16,8,32,64,3,8,6,0.8,0.776500639,16934
1367,16,8,32,64,3,8,3,0.923076923,0.877394636,16614
1368,16,8,32,32,6,256,6,0.528205128,0.489144317,976238
1369,16,8,32,32,6,256,3,0.528205128,0.489144317,609646
1370,16,8,32,32,6,128,6,0.687179487,0.659429544,295918
1371,16,8,32,32,6,128,3,0.841025641,0.828863346,210926
1372,16,8,32,32,6,64,6,0.841025641,0.823329076,103214
1373,16,8,32,32,6,64,3,0.851282051,0.846743295,85294
1374,16,8,32,32,6,32,6,0.892307692,0.887186037,43726
1375,16,8,32,32,6,32,3,0.917948718,0.905491699,40910
1376,16,8,32,32,6,16,6,0.928205128,0.898254576,23198
1377,16,8,32,32,6,16,3,0.933333333,0.916134525,23326
1378,16,8,32,32,6,8,6,0.81025641,0.776074926,15238
1379,16,8,32,32,6,8,3,0.784615385,0.754789272,15686
1380,16,8,32,32,3,256,6,0.528205128,0.489144317,973166
1381,16,8,32,32,3,256,3,0.682051282,0.659429544,606574
1382,16,8,32,32,3,128,6,0.682051282,0.659429544,292846
1383,16,8,32,32,3,128,3,0.841025641,0.823329076,207854
